id,source,target,type,label,date,outcome,presetTags,title
e619,EXP_065,PL_LADAKH,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e620,EXP_067,PL_LADAKH,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e621,EXP_068,PL_LADAKH,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e622,EXP_069,PL_LADAKH,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e623,EXP_071,PL_LADAKH,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e624,EXP_074,PL_LADAKH,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e625,EXP_075,PL_LADAKH,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e626,EXP_076,PL_LADAKH,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e627,EXP_077,PL_LADAKH,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e628,EXP_049,ENT_PLA_EX_028,explorer_link,documented / linked,,,[],Explorer ↔ Entity association
e629,PL_LAHUL,C_MAHAMUDRA,underpinning,associated with,,,"[""drukpa"", ""kagyu""]",Entity ↔ Underpinning association
e630,PL_LAHUL,C_RETREAT,underpinning,associated with,,,"[""drukpa"", ""kagyu"", ""nyingma""]",Entity ↔ Underpinning association
e631,PL_LAHUL,T_DRUKPA,underpinning,associated with,,,"[""drukpa"", ""kagyu""]",Entity ↔ Underpinning association
e632,PL_LAHUL,T_KAGYU,underpinning,associated with,,,"[""drukpa"", ""kagyu""]",Entity ↔ Underpinning association
e633,PL_LAHUL,YOL_PRA_0007,underpinning,associated with,,,"[""drukpa"", ""kagyu""]",Entity ↔ Underpinning association
e634,PL_LAHUL,YOL_TRA_0005,underpinning,associated with,,,"[""drukpa"", ""kagyu""]",Entity ↔ Underpinning association
e635,YOL_PLA_0027,T_DRUKPA,underpinning,associated with,,,"[""drukpa"", ""kagyu"", ""nyingma""]",Entity ↔ Underpinning association
e636,YOL_PLA_0027,T_KAGYU,underpinning,associated with,,,"[""drukpa"", ""kagyu"", ""nyingma""]",Entity ↔ Underpinning association
e637,YOL_PLA_0027,YOL_PRA_0007,underpinning,associated with,,,"[""drukpa"", ""kagyu"", ""nyingma""]",Entity ↔ Underpinning association
e638,YOL_PLA_0027,YOL_PRD_0006,underpinning,associated with,,,"[""drukpa"", ""kagyu"", ""nyingma""]",Entity ↔ Underpinning association
e639,YOL_PLA_0027,YOL_TRA_0001,underpinning,associated with,,,"[""drukpa"", ""kagyu"", ""nyingma""]",Entity ↔ Underpinning association
e640,YOL_PLA_0027,YOL_TRA_0003,underpinning,associated with,,,"[""drukpa"", ""kagyu"", ""nyingma""]",Entity ↔ Underpinning association
e641,EXP_029,YOL_PLA_0027,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu"", ""nyingma""]",Explorer ↔ Entity association
e642,EXP_061,YOL_PLA_0027,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu"", ""nyingma""]",Explorer ↔ Entity association
e643,EXP_062,YOL_PLA_0027,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu"", ""nyingma""]",Explorer ↔ Entity association
e644,EXP_070,YOL_PLA_0027,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu"", ""nyingma""]",Explorer ↔ Entity association
e645,EXP_063,ENT_PLA_EX_038,explorer_link,documented / linked,,,[],Explorer ↔ Entity association
e646,YOL_PLA_0028,C_MAHAMUDRA,underpinning,associated with,,,"[""drukpa"", ""kagyu""]",Entity ↔ Underpinning association
e647,YOL_PLA_0028,C_RETREAT,underpinning,associated with,,,"[""drukpa"", ""kagyu"", ""nyingma""]",Entity ↔ Underpinning association
e648,YOL_PLA_0028,T_DRUKPA,underpinning,associated with,,,"[""drukpa"", ""kagyu""]",Entity ↔ Underpinning association
e649,YOL_PLA_0028,T_KAGYU,underpinning,associated with,,,"[""drukpa"", ""kagyu""]",Entity ↔ Underpinning association
e650,YOL_PLA_0028,YOL_PRA_0007,underpinning,associated with,,,"[""drukpa"", ""kagyu""]",Entity ↔ Underpinning association
e651,YOL_PLA_0028,YOL_TRA_0012,underpinning,associated with,,,"[""drukpa"", ""kagyu""]",Entity ↔ Underpinning association
e652,EXP_006,YOL_PLA_0028,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e653,EXP_007,YOL_PLA_0028,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e654,EXP_009,YOL_PLA_0028,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e655,EXP_010,YOL_PLA_0028,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e656,EXP_011,YOL_PLA_0028,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e657,EXP_012,YOL_PLA_0028,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e658,EXP_013,YOL_PLA_0028,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e659,EXP_014,YOL_PLA_0028,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e660,EXP_015,YOL_PLA_0028,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e661,EXP_017,YOL_PLA_0028,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e662,EXP_018,YOL_PLA_0028,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e663,EXP_020,YOL_PLA_0028,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e664,EXP_022,YOL_PLA_0028,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e665,EXP_023,YOL_PLA_0028,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e666,EXP_027,YOL_PLA_0028,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e667,EXP_028,YOL_PLA_0028,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e668,EXP_030,YOL_PLA_0028,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e669,EXP_031,YOL_PLA_0028,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e670,EXP_032,YOL_PLA_0028,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e671,EXP_033,YOL_PLA_0028,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e672,EXP_034,YOL_PLA_0028,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e673,EXP_035,YOL_PLA_0028,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e674,EXP_036,YOL_PLA_0028,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e675,EXP_037,YOL_PLA_0028,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e676,EXP_038,YOL_PLA_0028,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e677,EXP_039,YOL_PLA_0028,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e678,EXP_041,YOL_PLA_0028,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e679,EXP_042,YOL_PLA_0028,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e680,EXP_043,YOL_PLA_0028,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e681,EXP_044,YOL_PLA_0028,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e682,EXP_045,YOL_PLA_0028,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e683,EXP_046,YOL_PLA_0028,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e684,EXP_047,YOL_PLA_0028,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e685,EXP_048,YOL_PLA_0028,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e686,EXP_051,YOL_PLA_0028,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e687,EXP_052,YOL_PLA_0028,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e688,EXP_053,YOL_PLA_0028,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e689,EXP_055,YOL_PLA_0028,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e690,EXP_058,YOL_PLA_0028,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e691,EXP_059,YOL_PLA_0028,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e692,EXP_060A,YOL_PLA_0028,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e693,EXP_060D,YOL_PLA_0028,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e694,EXP_061,YOL_PLA_0028,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
e695,EXP_062,YOL_PLA_0028,explorer_link,documented / linked,,,"[""drukpa"", ""kagyu""]",Explorer ↔ Entity association
